Day,Title,TitleFa,GrammarFocus,GrammarFocusFa,LessonLevel,SentenceId,Role,GermanText,Translation,TranslationFa,SentenceLevel
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,1,received,Hallo! Guten Morgen.,Hello! Good morning.,سلام! صبح بخیر.,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,2,sent,Guten Morgen! Wie geht es Ihnen?,Good morning! How are you?,صبح بخیر! حالتان چطور است؟,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,3,received,"Mir geht es gut, danke. Und Ihnen?","I am fine, thank you. And you?",من خوبم، ممنون. شما چطور؟,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,4,sent,"Auch gut, danke.","Also good, thanks.",من هم خوبم، ممنون.,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,5,received,Ich heiße Anna. Wie heißen Sie?,My name is Anna. What is your name?,اسم من آنا است. اسم شما چیست؟,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,6,sent,Ich heiße Ali. Freut mich!,My name is Ali. Nice to meet you!,اسم من علی است. خوشبختم!,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,7,received,Freut mich auch! Woher kommen Sie?,Nice to meet you too! Where are you from?,من هم خوشبختم! شما اهل کجا هستید؟,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,8,sent,Ich komme aus dem Iran.,I come from Iran.,من اهل ایران هستم.,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,9,received,"Oh, interessant! Willkommen in Deutschland.","Oh, interesting! Welcome to Germany.",اوه، جالب! به آلمان خوش آمدید.,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,10,sent,Vielen Dank! Deutschland ist sehr schön.,Thank you very much! Germany is very beautiful.,خیلی ممنون! آلمان خیلی زیباست.,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,11,received,Sprechen Sie Deutsch?,Do you speak German?,آیا آلمانی صحبت می‌کنید؟,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,12,sent,Ein bisschen. Ich lerne Deutsch.,A little bit. I am learning German.,کمی. من دارم آلمانی یاد می‌گیرم.,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,13,received,Das ist toll! Viel Erfolg!,That is great! Good luck!,عالیه! موفق باشید!,A1
1,Greetings & Introductions,احوالپرسی و معرفی,"Basic greetings: Hallo, Guten Tag, Tschüss",احوالپرسی پایه,A1,14,sent,Danke schön! Auf Wiedersehen.,Thank you! Goodbye.,ممنونم! خداحافظ.,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,1,received,Hallo! Ich bin Maria. Ich komme aus Berlin.,Hello! I am Maria. I come from Berlin.,سلام! من ماریا هستم. من اهل برلین هستم.,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,2,sent,Hallo Maria! Ich bin Reza. Ich komme aus Teheran.,Hello Maria! I am Reza. I come from Tehran.,سلام ماریا! من رضا هستم. من اهل تهران هستم.,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,3,received,"Wie alt bist du, Reza?","How old are you, Reza?",رضا، چند سالته؟,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,4,sent,Ich bin fünfundzwanzig Jahre alt. Und du?,I am twenty-five years old. And you?,من بیست و پنج سالمه. تو چی؟,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,5,received,Ich bin dreißig. Was machst du beruflich?,I am thirty. What do you do for a living?,من سی سالمه. شغلت چیه؟,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,6,sent,Ich bin Student. Ich studiere Informatik.,I am a student. I study computer science.,من دانشجو هستم. من کامپیوتر می‌خوانم.,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,7,received,Interessant! Ich bin Lehrerin.,Interesting! I am a teacher.,جالبه! من معلم هستم.,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,8,sent,Wo wohnst du in Berlin?,Where do you live in Berlin?,کجای برلین زندگی می‌کنی؟,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,9,received,Ich wohne in Kreuzberg. Und wo wohnst du?,I live in Kreuzberg. And where do you live?,من در کرویتسبرگ زندگی می‌کنم. تو کجا زندگی می‌کنی؟,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,10,sent,Ich wohne in München. Die Stadt ist sehr schön.,I live in Munich. The city is very beautiful.,من در مونیخ زندگی می‌کنم. شهر خیلی زیباست.,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,11,received,Sprichst du Englisch?,Do you speak English?,آیا انگلیسی صحبت می‌کنی؟,A1
2,Introducing Yourself,معرفی خودتان,"Ich bin..., Ich heiße..., Ich komme aus...",من هستم... اسم من است... من اهل... هستم,A1,12,sent,"Ja, ich spreche Englisch und Persisch.","Yes, I speak English and Persian.",بله، من انگلیسی و فارسی صحبت می‌کنم.,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,1,received,Guten Tag! Wie viel kostet der Kaffee?,Good day! How much does the coffee cost?,روز بخیر! قهوه چقدر است؟,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,2,sent,Der Kaffee kostet drei Euro.,The coffee costs three euros.,قهوه سه یورو است.,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,3,received,Und das Brötchen? Wie viel kostet das?,And the bread roll? How much does that cost?,و نان؟ قیمتش چقدر است؟,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,4,sent,Das Brötchen kostet eins fünfzig.,The bread roll costs one fifty.,نان یک یورو و پنجاه سنت است.,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,5,received,Ich nehme zwei Kaffees und drei Brötchen.,I will take two coffees and three bread rolls.,من دو تا قهوه و سه تا نان می‌خواهم.,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,6,sent,Das macht zusammen zehn Euro fünfzig.,That comes to ten euros fifty altogether.,مجموعا ده یورو و پنجاه سنت می‌شود.,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,7,received,Wie ist Ihre Telefonnummer?,What is your phone number?,شماره تلفن شما چیست؟,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,8,sent,"Meine Nummer ist null eins sieben zwei, fünf acht neun drei.","My number is zero one seven two, five eight nine three.",شماره من صفر یک هفت دو، پنج هشت نه سه است.,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,9,received,Können Sie das bitte wiederholen?,Can you please repeat that?,می‌توانید لطفا تکرار کنید؟,A1
3,Numbers 1-20,اعداد ۱ تا ۲۰,"Cardinal numbers: eins, zwei, drei... zwanzig",اعداد اصلی: یک، دو، سه... بیست,A1,10,sent,"Natürlich! Null eins sieben zwei, fünf acht neun drei.","Of course! Zero one seven two, five eight nine three.",البته! صفر یک هفت دو، پنج هشت نه سه.,A1
